date,C,C#,C++,Java,JavaScript,Python
2001-06-30,20.24,0.38,14.2,26.49,1.55,1.25
2001-07-30,20.77,0.43,16.11,25.03,1.72,1.13
2001-08-30,20.75,0.38,16.12,24.66,1.66,1.2
2001-09-28,20.77,0.39,15.85,24.82,1.63,1.17
2001-10-26,19.75,0.42,16.1,25.68,1.51,1.28
2001-11-28,19.21,0.76,15.67,24.37,1.47,1.23
2001-12-31,20.14,0.59,14.96,24.2,1.46,1.04
2002-01-30,18.83,0.62,15.18,24.06,2.73,1.02
2002-02-27,19.89,0.74,15.54,24.01,1.48,0.99
2002-03-29,19.85,0.74,15.91,24.41,1.47,0.99
2002-04-29,19.82,1.18,15.37,25.05,1.37,1.07
2002-05-29,19.99,1.16,14.86,25.19,1.36,1.06
2002-06-29,19.57,1.46,14.18,24.2,1.43,1.13
2002-07-31,19.25,1.36,14.94,24.53,1.15,1.08
2002-08-29,18.16,1.46,14.77,22.89,2.02,1.22
2002-09-29,18.7,1.65,15.9,24.48,1.91,1.08
2002-10-30,18.73,1.78,15.03,24.2,1.98,1.19
2002-11-29,17.5,2.38,13.64,24.12,2.49,1
2002-12-31,17.26,2.45,13.19,24.23,2.42,1
2003-01-31,18.25,1.99,14.63,24.79,2.92,1.03
2003-02-28,18.54,1.98,15.53,24.78,2.81,0.97
2003-03-31,17.21,2.38,14.57,24.6,2.63,0.99
2003-04-30,18.02,1.88,15.8,24.66,3.26,1.01
2003-05-30,18.5,1.94,15.58,23.11,1.72,1.16
2003-06-30,18.52,1.78,16.72,22.34,1.69,1.28
2003-07-31,17.97,2,16.58,23.21,1.79,1.3
2003-08-31,17.78,2.06,17.53,22.24,1.9,1.42
2003-09-30,18.31,1.94,16.17,21.9,1.66,1.49
2003-10-31,17,1.9,16.31,23.08,1.92,1.77
2003-11-30,18.47,1.71,17.42,25.01,1.74,1.1
2003-12-31,18.6,1.8,16.08,23.57,1.74,1.13
2004-01-31,18.2,2.18,15.71,22.56,2.14,1.01
2004-02-29,18.93,2.24,14.5,23.17,2.06,1.02
2004-03-31,17.75,2.14,15.99,24.24,1.78,1.01
2004-04-30,17.95,1.88,12.27,18.69,1.78,4.57
2004-05-30,18.29,1.65,12.55,17.54,1.45,6.58
2004-06-30,17.14,1.67,13.44,17.05,1.61,4.96
2004-07-31,16.33,1.63,15.31,17,1.68,4.7
2004-08-30,17.12,1.63,14.92,15.9,1.51,5.6
2004-09-30,18.17,1.64,15.02,17.05,1.27,4.44
2004-10-31,17.99,1.5,13.86,14.8,1.2,5.2
2004-11-30,19.7,1.95,11.91,16.33,1.59,3.03
2004-12-31,20.71,2.2,11.93,17.48,1.7,2.84
2005-01-31,19.82,2.36,11.34,18.34,1.78,2.51
2005-02-28,19.47,2.53,11.63,18.87,1.65,2.42
2005-03-31,18.63,2.82,10.19,16.98,1.64,2.7
2005-04-30,18.52,2.77,9.9,17.4,1.44,2.48
2005-05-31,19.37,2.78,9.72,18.57,1.39,2.8
2005-06-30,19.85,3.14,11.06,19.66,1.78,2.52
2005-07-31,19.47,3.48,10.51,21.21,1.92,2.88
2005-08-31,19.16,3.29,11.17,22.44,1.77,3.03
2005-09-30,18.77,3.46,11.82,21.87,2.04,2.88
2005-12-03,19.63,3.31,11.03,22.13,1.84,2.68
2006-01-04,19.01,3.55,11.46,22.25,1.54,2.6
2006-02-02,18.33,3.97,11.3,22.43,1.51,2.67
2006-03-01,17.79,3.15,11.16,21.89,1.73,3.09
2006-04-02,17.69,3.95,10.9,21.28,1.57,2.76
2006-05-01,17.69,3.27,10.94,21.32,2.19,3.04
2006-06-01,18.25,3.24,10.67,21.13,1.46,3.46
2006-07-02,17.83,3.4,9.78,21.85,2.11,3.02
2006-08-02,17.43,2.68,10.25,22.38,2.02,3.07
2006-09-02,18.06,2.99,10.75,21.53,2.44,3.14
2006-10-01,17.66,3.06,11.06,21.17,2.2,3.47
2006-11-02,17.2,3.02,11.05,20.4,2.31,3.64
2006-12-01,16.62,3.17,10.41,19.91,2.56,3.76
2007-01-02,15.81,3.52,10.42,19.16,2.84,3.5
2007-02-03,16.1,3.19,10.77,18.98,2.98,3.57
2007-03-03,15.63,3.37,11.11,18.04,3.49,3.9
2007-04-01,14.94,3.55,10.72,18.36,3.14,3.81
2007-05-05,15.15,3.66,10.11,19.14,3.07,3.78
2007-06-02,15.97,3.48,11.12,20.03,2.62,3.16
2007-07-02,16.36,3.71,10.5,21.01,2.51,3.02
2007-08-05,15.7,3.99,10.11,21.77,2.58,2.75
2007-09-02,14.91,3.58,9.94,21.7,2.72,3.03
2007-10-04,14.59,3.74,9.58,21.62,2.68,3.43
2007-11-04,13.97,3.92,8.75,20.54,2.93,4.23
2007-12-03,13.17,3.99,7.87,20.05,2.73,4.7
2008-01-03,13.92,4.86,8.73,20.85,3.2,5.54
2008-02-07,14.86,4.51,9.27,21.48,2.33,4.76
2008-06-01,15.51,4.06,10.81,20.89,2.93,4.9
2008-07-02,15.95,4,10.69,21.34,2.76,4.97
2008-08-03,16.18,3.7,10.06,21.57,2.89,4.98
2008-09-03,15.38,4.33,10.72,20.71,3.13,5.01
2008-10-06,15.57,3.77,10.95,20.95,2.67,4.56
2008-11-02,15.28,4.03,10.36,20.3,2.93,5.14
2008-12-03,15.02,4.58,10.1,17.92,2.97,4.17
2009-01-02,15.93,5.61,10.12,19.02,3.36,4.73
2009-02-01,15.84,5.06,9.63,19.4,3.54,4.57
2009-03-05,15.86,4.32,10.36,19.8,3.61,5.18
2009-04-07,15.47,4.06,10.74,19.34,3.68,6.08
2009-05-01,16.13,4.27,11.07,19.54,3.55,5.55
2009-06-04,16.78,4.54,10.59,20.15,4.02,4.76
2009-07-02,17.32,4.54,10.42,20.45,3.51,4.43
2009-08-01,17.22,4.44,10.5,19.53,2.81,4.49
2009-09-05,16.86,4.19,9.99,19.38,3,3.93
2009-10-02,16.84,4.42,9.88,18.65,3.03,3.9
2009-11-02,17.32,5.35,10,18.37,2.92,4.67
2009-12-02,16.28,6.26,9.18,17.06,3.51,5.19
2010-01-05,16.22,5.77,9.71,17.48,2.71,4.45
